id,title,type,date,cve,cvss,base severity,cwe,epss,lien,description,editeur,produit,versions
CERTFR-2022-ALE-007,Multiples vulnérabilités dans Microsoft Windows (16 septembre 2022),alerte,2022-09-16,CVE-2022-34718,9.8,CRITICAL,Remote Code Execution,0.843,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-007/,Windows TCP/IP Remote Code Execution Vulnerability,Microsoft,Windows Server 2012 R2 (Server Core installation),['6.3.9600.0']
CERTFR-2022-ALE-007,Multiples vulnérabilités dans Microsoft Windows (16 septembre 2022),alerte,2022-09-16,CVE-2022-34721,9.8,CRITICAL,Remote Code Execution,0.178,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-007/,Windows Internet Key Exchange (IKE) Protocol Extensions Remote Code Execution Vulnerability,Microsoft,Windows Server 2012 R2 (Server Core installation),['6.3.9600.0']
CERTFR-2022-ALE-007,Multiples vulnérabilités dans Microsoft Windows (16 septembre 2022),alerte,2022-09-16,CVE-2022-34722,9.8,CRITICAL,Remote Code Execution,0.066,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-007/,Windows Internet Key Exchange (IKE) Protocol Extensions Remote Code Execution Vulnerability,Microsoft,Windows Server 2012 R2 (Server Core installation),['6.3.9600.0']
CERTFR-2022-ALE-008,[MaJ] Multiples vulnérabilités dans Microsoft Exchange (30 septembre 2022),alerte,2022-09-30,CVE-2022-41040,8.8,HIGH,Elevation of Privilege,0.943,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-008/,Microsoft Exchange Server Elevation of Privilege Vulnerability,Microsoft,Microsoft Exchange Server 2016 Cumulative Update 23,['15.01.0']
CERTFR-2022-ALE-008,[MaJ] Multiples vulnérabilités dans Microsoft Exchange (30 septembre 2022),alerte,2022-09-30,CVE-2022-41082,8,HIGH,Remote Code Execution,0.929,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-008/,Microsoft Exchange Server Remote Code Execution Vulnerability,Microsoft,Microsoft Exchange Server 2016 Cumulative Update 23,['15.01.0']
CERTFR-2022-ALE-014,Multiples vulnérabilités dans AMI MegaRAC (16 décembre 2022),alerte,2022-12-16,CVE-2022-40242,7.5,HIGH,CWE-798 Use of Hard-coded Credentials,0.001,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-014/,MegaRAC Default Credentials Vulnerability,AMI,MegaRAC SPx13,['0']
CERTFR-2022-ALE-014,Multiples vulnérabilités dans AMI MegaRAC (16 décembre 2022),alerte,2022-12-16,CVE-2022-40259,8.3,HIGH,CWE-798 Use of Hard-coded Credentials,0.003,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-014/,MegaRAC Default Credentials Vulnerability,AMI,MegaRAC SPx13,['0']
CERTFR-2022-ALE-014,Multiples vulnérabilités dans AMI MegaRAC (16 décembre 2022),alerte,2022-12-16,CVE-2022-2827,7.5,HIGH,CWE-200 Exposure of Sensitive Information to an Unauthorized Actor,0.18,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-014/,AMI MegaRAC User Enumeration Vulnerability,AMI,MegaRAC SPx13,['0']
CERTFR-2023-ALE-015,[MàJ] Campagne d'exploitation d'une vulnérabilité affectant VMware ESXi (03 février 2023),alerte,2023-02-03,CVE-2021-21974,Non disponible,Non disponible,OpenSLP heap-overflow vulnerability,0.624,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-015/,"OpenSLP as used in ESXi (7.0 before ESXi70U1c-17325551, 6.7 before ESXi670-202102401-SG, 6.5 before ESXi650-202102101-SG) has a heap-overflow vulnerability. A malicious actor residing within the same network segment as ESXi who has access to port 427 may be able to trigger the heap-overflow issue in OpenSLP service resulting in remote code execution.",Non disponible,VMware Cloud Foundation,['4.x before 4.2 and 3.x']
CERTFR-2023-ALE-015,[MàJ] Campagne d'exploitation d'une vulnérabilité affectant VMware ESXi (03 février 2023),alerte,2023-02-03,CVE-2020-3992,Non disponible,Non disponible,Remote code execution vulnerability,0.908,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-015/,"OpenSLP as used in VMware ESXi (7.0 before ESXi_7.0.1-0.0.16850804, 6.7 before ESXi670-202010401-SG, 6.5 before ESXi650-202010401-SG) has a use-after-free issue. A malicious actor residing in the management network who has access to port 427 on an ESXi machine may be able to trigger a use-after-free in the OpenSLP service resulting in remote code execution.",Non disponible,VMware ESXi,"['VMware ESXi (7.0 before ESXi_7.0.1-0.0.16850804, 6.7 before ESXi670-202010401-SG, 6.5 before ESXi650-202010401-SG)']"
