id,title,type,date,cve,cvss,base severity,cwe id,cwe,epss,lien,description,references,editeur,produit,versions
CERTFR-2021-ALE-001,|MàJ] Vulnérabilité dans SonicWall SMA100,alertes,2021-05-12,CVE-2021-20016,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,https://www.cert.ssi.gouv.fr/avis/CERTFR-2021-AVI-083/,Non disponible,,Sonicwall,Secure Mobile Access,"SMA 200, SMA 210, SMA 400 et SMA 410 versions 10.x antérieures à 10.2.0.6-32sv; SMA 200, SMA 210, SMA 400 et SMA 410 versions 9.x antérieures à 9.0.0.10-28sv; SMA 500v (Azure, AWS, ESXi, HyperV) versions 10.x antérieures à 10.2.0.6-32sv; SMA 500v (Azure, AWS, ESXi, HyperV) versions 9.x antérieures à 9.0.0.10-28sv"
CERTFR-2021-ALE-001,|MàJ] Vulnérabilité dans SonicWall SMA100,alertes,2021-05-12,CVE-2014-6271,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,https://www.cert.ssi.gouv.fr/avis/CERTFR-2021-AVI-083/,Non disponible,,Sonicwall,Secure Mobile Access,"SMA 200, SMA 210, SMA 400 et SMA 410 versions 10.x antérieures à 10.2.0.6-32sv; SMA 200, SMA 210, SMA 400 et SMA 410 versions 9.x antérieures à 9.0.0.10-28sv; SMA 500v (Azure, AWS, ESXi, HyperV) versions 10.x antérieures à 10.2.0.6-32sv; SMA 500v (Azure, AWS, ESXi, HyperV) versions 9.x antérieures à 9.0.0.10-28sv"
CERTFR-2021-ALE-002,[MàJ] Vulnérabilité dans Google Chrome et Microsoft Edge,alertes,2021-03-11,CVE-2021-21148,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,"Microsoft, Google","Edge, Chrome",Microsoft Edge (Chromium-based) versions antérieures à 88.0.705.63; Google Chrome versions antérieures à 88.0.4324.150
CERTFR-2021-ALE-003,[MàJ] Vulnérabilité dans VMware vCenter Server,alertes,2021-05-12,CVE-2021-21972,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,,VMware,vCenter Server,Cloud Foundation (vCenter Server) versions 4.x antérieures à 4.2; vCenter Server versions 6.5 antérieures à 6.5 U3n; Cloud Foundation (vCenter Server) versions 3.x antérieures à 3.10.1.2; vCenter Server versions 7.0 antérieures à 7.0 U1c; vCenter Server versions 6.7 antérieures à 6.7 U3l
CERTFR-2021-ALE-004,[MàJ] Multiples vulnérabilités dans Microsoft Exchange Server,alertes,2021-07-16,CVE-2021-26858,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,https://www.cert.ssi.gouv.fr/avis/CERTFR-2021-AVI-156/,Non disponible,,,,
CERTFR-2021-ALE-004,[MàJ] Multiples vulnérabilités dans Microsoft Exchange Server,alertes,2021-07-16,CVE-2021-27078,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,https://www.cert.ssi.gouv.fr/avis/CERTFR-2021-AVI-156/,Non disponible,,,,
CERTFR-2021-ALE-004,[MàJ] Multiples vulnérabilités dans Microsoft Exchange Server,alertes,2021-07-16,CVE-2021-26857,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,https://www.cert.ssi.gouv.fr/avis/CERTFR-2021-AVI-156/,Non disponible,,,,
CERTFR-2021-ALE-004,[MàJ] Multiples vulnérabilités dans Microsoft Exchange Server,alertes,2021-07-16,CVE-2021-26855,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,https://www.cert.ssi.gouv.fr/avis/CERTFR-2021-AVI-156/,Non disponible,,,,
CERTFR-2021-ALE-004,[MàJ] Multiples vulnérabilités dans Microsoft Exchange Server,alertes,2021-07-16,CVE-2021-27065,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,https://www.cert.ssi.gouv.fr/avis/CERTFR-2021-AVI-156/,Non disponible,,,,
CERTFR-2021-ALE-004,[MàJ] Multiples vulnérabilités dans Microsoft Exchange Server,alertes,2021-07-16,CVE-2021-26412,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,https://www.cert.ssi.gouv.fr/avis/CERTFR-2021-AVI-156/,Non disponible,,,,
